subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,dice_val_avg,key
128,16,4,8,16,8,8,0.6733089528585737,1
128,16,4,16,8,16,16,0.6768452125160319,2
128,16,4,16,64,4,16,0.6772917140471307,3
128,16,4,32,16,8,32,0.6762654083339791,4
128,16,4,64,32,8,64,0.6783173319540526,5
128,16,8,32,16,4,32,0.6765369490573282,6
128,16,8,32,128,32,32,0.6770320785673042,7
128,16,8,64,8,32,64,0.6773520715926824,8
128,16,8,64,32,4,64,0.6774704173991556,9
128,16,8,64,128,4,64,0.6778702649630998,10
128,16,8,128,64,64,128,0.6797830054634497,11
128,16,8,256,8,64,256,0.6781960882638629,12
128,16,16,32,16,16,32,0.6785292068594379,13
128,16,16,64,64,8,64,0.676115393638611,14
128,32,4,64,128,16,64,0.6182528067576257,15
128,32,8,8,16,4,8,0.6136469950801448,16
128,32,8,16,8,16,16,0.6187169457736768,17
128,32,8,16,32,16,16,0.6177047938108443,18
128,32,64,64,256,64,64,0.4752479423033562,19
