subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,loss
128,16,8,32,32,8,32,0.0001,0.996307373046875,True,Completed,1689.554332414642
128,16,8,128,256,32,128,0.001,10.630096435546875,True,Completed,1717.436883426737
128,64,32,256,128,8,256,0.0001,337.5636901855469,True,Completed,1529.6157377099153
64,8,8,128,32,8,128,0.0001,5.366424560546875,True,Completed,12726.031796143157
128,32,64,16,64,8,16,1e-05,3.622772216796875,True,Completed,1798.3397937985137
64,8,8,128,16,64,128,5e-05,5.115447998046875,True,Completed,11674.615229640855
64,16,16,64,128,16,64,5e-05,5.202362060546875,True,Completed,13788.504906425718
64,8,32,32,32,8,32,0.0001,1.742401123046875,True,Completed,12415.632627811749
128,64,64,64,32,32,64,0.0001,74.39962768554688,True,Completed,1520.1325963065028
64,8,32,128,128,8,128,0.0001,25.106658935546875,True,Completed,15112.913970216992
64,32,32,128,256,32,128,1e-05,48.641815185546875,True,Completed,13797.450501237763
128,32,8,32,128,32,32,0.001,4.822479248046875,True,Completed,1596.5667182798497
128,32,8,64,16,64,64,0.0001,9.277557373046875,True,Completed,1523.9015289072413
64,32,32,16,16,16,16,0.0001,2.431854248046875,True,Completed,14195.433838229743
128,64,32,128,64,8,128,0.0001,148.59494018554688,True,Completed,1535.256814375287
64,32,32,16,8,16,16,0.001,2.367401123046875,True,Completed,14038.200679819827
64,32,16,64,64,32,64,0.0001,11.180877685546875,True,Completed,14157.979404525016
128,64,128,64,8,64,64,0.0001,81.67306518554688,True,Completed,1580.9154658084735
64,32,16,256,16,64,256,0.0001,66.25314331054688,True,Completed,13081.481598380138
128,16,8,128,128,8,128,0.0001,8.622283935546875,True,Completed,1716.4576532794163
32,4,8,128,8,8,128,0.0001,4.771209716796875,True,Completed,88617.44759824798
64,16,64,256,128,16,256,1e-05,166.21212768554688,True,Completed,13641.001441310858
128,64,128,128,16,64,128,1e-05,197.43869018554688,True,Completed,1737.701524254866
128,64,256,128,64,32,128,5e-05,290.6730651855469,True,Completed,1583.4127885103226
32,4,8,64,256,16,64,1e-05,3.292205810546875,True,Completed,93859.3411485526
128,32,64,64,128,16,64,0.0001,24.460174560546875,True,Completed,1715.5006881055888
128,64,32,256,256,8,256,5e-05,353.5949401855469,True,Completed,1585.3687950007152
128,16,32,16,256,8,16,1e-05,2.646209716796875,True,Completed,1788.348826657515
64,32,8,16,8,8,16,0.0001,2.105194091796875,True,Completed,14267.282248664298
64,16,8,16,8,16,16,0.001,0.358612060546875,True,Completed,12809.503575476723
64,16,16,32,256,16,32,0.001,3.113494873046875,True,Completed,13528.965467875329
128,16,8,64,32,8,64,1e-05,2.512908935546875,True,Completed,1883.5995979038998
64,8,32,64,8,8,64,5e-05,4.743377685546875,True,Completed,12385.028311905102
32,8,16,32,128,32,32,1e-05,1.660369873046875,True,Completed,164236.48713242618
32,8,16,128,32,8,128,0.0001,9.719940185546875,True,Completed,91954.17993858815
128,32,8,256,64,64,256,5e-05,51.169158935546875,True,Completed,1404.9629965377972
128,64,8,32,8,32,32,0.001,32.339569091796875,True,Completed,1650.156595328066
128,64,16,256,8,8,256,1e-05,289.7521667480469,True,Completed,1628.7210677713156
32,4,16,16,256,8,16,0.001,1.226287841796875,True,Completed,156830.13442908973
64,32,128,256,256,16,256,1e-05,419.4699401855469,True,Completed,12200.398281188216
32,8,16,32,256,32,32,5e-05,2.675994873046875,True,Completed,125643.54595005926
32,4,8,64,8,64,64,5e-05,1.339569091796875,True,Completed,80585.60278878448
64,32,256,64,8,64,64,0.0001,43.243377685546875,True,Completed,17555.253063574433
32,16,32,128,64,32,128,1e-05,22.594940185546875,True,Completed,116474.29071024526
32,16,32,64,32,8,64,0.0001,6.251190185546875,True,Completed,112653.82330062914
32,16,32,32,16,16,32,0.001,1.864471435546875,True,Completed,114701.99799108441
